# PLGA Optimization Results
# Drug: xanthone
# Priority: balanced
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 08:57:47
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
30000,0.5,0.05,181.3,42.2,4.0,42.13
50000,0.5,0.05,181.3,42.2,4.0,42.13
10000,0.5,0.05,181.3,42.2,4.0,42.13
150000,0.5,0.05,181.3,42.2,4.0,42.13
100000,0.5,0.05,181.3,42.2,4.0,42.13
100000,0.75,0.05,180.5,41.9,3.9,42.02
75000,0.75,0.05,180.5,41.9,3.9,42.02
50000,0.75,0.05,180.5,41.9,3.9,42.02
20000,0.75,0.05,180.5,41.9,3.9,42.02
150000,0.75,0.05,180.5,41.9,3.9,42.02
10000,0.75,0.05,180.5,41.9,3.9,42.02
30000,0.75,0.05,180.5,41.9,3.9,42.02
10000,2.5,0.05,190.4,42.1,4.4,41.86
20000,2.5,0.05,190.4,42.1,4.4,41.86
150000,2.5,0.05,190.4,42.1,4.4,41.86
100000,2.5,0.05,190.4,42.1,4.4,41.86
75000,2.5,0.05,190.4,42.1,4.4,41.86
50000,2.5,0.05,190.4,42.1,4.4,41.86
30000,2.5,0.05,190.4,42.1,4.4,41.86
100000,4.0,0.05,209.8,43.1,4.5,40.68
10000,4.0,0.05,209.8,43.1,4.5,40.68
150000,4.0,0.05,209.8,43.1,4.5,40.68
50000,4.0,0.05,209.8,43.1,4.5,40.68
75000,4.0,0.05,209.8,43.1,4.5,40.68
30000,4.0,0.05,209.8,43.1,4.5,40.68
20000,4.0,0.05,209.8,43.1,4.5,40.68
20000,3.0,0.05,211.9,42.7,4.6,40.43
100000,3.0,0.05,211.9,42.7,4.6,40.43
50000,3.0,0.05,211.9,42.7,4.6,40.43
150000,3.0,0.05,211.9,42.7,4.6,40.43
10000,3.0,0.05,211.9,42.7,4.6,40.43
75000,3.0,0.05,211.9,42.7,4.6,40.43
30000,3.0,0.05,211.9,42.7,4.6,40.43
