# PLGA Optimization Results
# Drug: tretinoin
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 11:32:41
# Total formulations evaluated: 448
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (kDa),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
20,4.0,0.15,238.5,70.3,9.4,52.29
10,4.0,0.15,238.5,70.3,9.4,52.29
100,4.0,0.2,239.2,69.4,10.0,52.17
30,4.0,0.2,239.2,69.4,10.0,52.17
20,4.0,0.2,239.2,69.4,10.0,52.17
10,4.0,0.2,239.2,69.4,10.0,52.17
75,4.0,0.2,239.2,69.4,10.0,52.17
50,4.0,0.2,239.2,69.4,10.0,52.17
150,4.0,0.2,239.2,69.4,10.0,52.17
20,4.0,0.1,239.4,70.2,8.5,52.12
50,4.0,0.1,239.4,70.2,8.5,52.12
75,4.0,0.1,239.4,70.2,8.5,52.12
30,4.0,0.1,239.4,70.2,8.5,52.12
100,4.0,0.1,239.4,70.2,8.5,52.12
150,4.0,0.1,239.4,70.2,8.5,52.12
10,4.0,0.1,239.4,70.2,8.5,52.12
30,1.5,0.05,247.4,70.3,6.4,50.51
10,1.5,0.05,247.4,70.3,6.4,50.51
100,1.5,0.05,247.4,70.3,6.4,50.51
50,1.5,0.05,247.4,70.3,6.4,50.51
75,1.5,0.05,247.4,70.3,6.4,50.51
150,1.5,0.05,247.4,70.3,6.4,50.51
20,1.5,0.05,247.4,70.3,6.4,50.51
10,2.0,0.05,256.8,69.5,6.7,48.63
20,2.0,0.05,256.8,69.5,6.7,48.63
150,2.0,0.05,256.8,69.5,6.7,48.63
50,2.0,0.05,256.8,69.5,6.7,48.63
30,2.0,0.05,256.8,69.5,6.7,48.63
75,2.0,0.05,256.8,69.5,6.7,48.63
100,2.0,0.05,256.8,69.5,6.7,48.63
50,2.5,0.05,259.1,69.4,6.6,48.17
10,2.5,0.05,259.1,69.4,6.6,48.17
75,2.5,0.05,259.1,69.4,6.6,48.17
150,2.5,0.05,259.1,69.4,6.6,48.17
100,2.5,0.05,259.1,69.4,6.6,48.17
30,2.5,0.05,259.1,69.4,6.6,48.17
20,2.5,0.05,259.1,69.4,6.6,48.17
150,3.0,0.05,276.2,69.4,6.6,44.77
