# PLGA Optimization Results
# Drug: ropinirole
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 09:00:41
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
150000,1.0,0.1,185.3,39.8,7.4,62.95
10000,1.0,0.1,185.3,39.8,7.4,62.95
50000,1.0,0.1,185.3,39.8,7.4,62.95
30000,1.0,0.1,185.3,39.8,7.4,62.95
75000,1.0,0.1,185.3,39.8,7.4,62.95
100000,1.0,0.1,185.3,39.8,7.4,62.95
20000,1.0,0.1,185.3,39.8,7.4,62.95
100000,0.5,0.1,185.3,39.4,7.5,62.94
75000,0.5,0.1,185.3,39.4,7.5,62.94
150000,0.5,0.1,185.3,39.4,7.5,62.94
30000,0.5,0.1,185.3,39.4,7.5,62.94
50000,0.5,0.1,185.3,39.4,7.5,62.94
20000,0.5,0.1,185.3,39.4,7.5,62.94
10000,0.5,0.1,185.3,39.4,7.5,62.94
100000,0.75,0.1,185.3,39.9,7.4,62.93
20000,0.75,0.1,185.3,39.9,7.4,62.93
10000,0.75,0.1,185.3,39.9,7.4,62.93
30000,0.75,0.1,185.3,39.9,7.4,62.93
150000,0.75,0.1,185.3,39.9,7.4,62.93
50000,0.75,0.1,185.3,39.9,7.4,62.93
75000,0.75,0.1,185.3,39.9,7.4,62.93
10000,1.5,0.1,186.5,38.1,7.4,62.7
150000,1.5,0.1,186.5,38.1,7.4,62.7
75000,1.5,0.1,186.5,38.1,7.4,62.7
30000,1.5,0.1,186.5,38.1,7.4,62.7
50000,1.5,0.1,186.5,38.1,7.4,62.7
100000,1.5,0.1,186.5,38.1,7.4,62.7
20000,1.5,0.1,186.5,38.1,7.4,62.7
150000,2.0,0.05,186.8,31.3,4.9,62.64
50000,2.0,0.05,186.8,31.3,4.9,62.64
75000,2.0,0.05,186.8,31.3,4.9,62.64
10000,2.0,0.05,186.8,31.3,4.9,62.64
20000,2.0,0.05,186.8,31.3,4.9,62.64
100000,2.0,0.05,186.8,31.3,4.9,62.64
30000,2.0,0.05,186.8,31.3,4.9,62.64
50000,0.5,0.05,187.4,35.7,5.6,62.52
20000,0.5,0.05,187.4,35.7,5.6,62.52
30000,0.5,0.05,187.4,35.7,5.6,62.52
75000,0.5,0.05,187.4,35.7,5.6,62.52
10000,0.5,0.05,187.4,35.7,5.6,62.52
100000,0.5,0.05,187.4,35.7,5.6,62.52
150000,0.5,0.05,187.4,35.7,5.6,62.52
30000,0.75,0.05,187.5,36.2,5.5,62.51
150000,0.75,0.05,187.5,36.2,5.5,62.51
20000,0.75,0.05,187.5,36.2,5.5,62.51
50000,0.75,0.05,187.5,36.2,5.5,62.51
100000,0.75,0.05,187.5,36.2,5.5,62.51
75000,0.75,0.05,187.5,36.2,5.5,62.51
10000,0.75,0.05,187.5,36.2,5.5,62.51
10000,1.0,0.05,187.9,36.1,5.5,62.43
50000,1.0,0.05,187.9,36.1,5.5,62.43
